qid,domain,iot_level
D4-T4-003,D4,L1
D4-T4-004,D4,L1
D4-T4-005,D4,L1
D4-T4-006,D4,L1
D5-T1-001,D5,L1
D5-T1-002,D5,L1
D5-T1-003,D5,L1
D5-T1-004,D5,L1
D5-T1-005,D5,L1
D5-T1-006,D5,L1
D5-T1-007,D5,L1
D5-T1-008,D5,L1
D5-T1-009,D5,L1
D5-T1-010,D5,L1
D5-T1-011,D5,L1
D5-T1-012,D5,L1
D5-T1-013,D5,L1
D5-T1-014,D5,L1
D5-T1-015,D5,L1
D5-T1-016,D5,L1
D5-T1-017,D5,L1
D5-T1-018,D5,L1
D5-T1-019,D5,L1
D5-T1-020,D5,L1
D5-T1-021,D5,L1
D5-T1-022,D5,L1
D5-T1-023,D5,L1
D5-T1-024,D5,L1
D5-T1-025,D5,L1
D5-T1-026,D5,L1
D5-T1-027,D5,L1
D5-T1-028,D5,L1
D5-T1-029,D5,L1
D5-T1-030,D5,L1
D5-T2-001,D5,L1
D5-T2-002,D5,L1
D5-T2-003,D5,L0
D5-T2-004,D5,L1
D5-T2-005,D5,L0
D5-T2-006,D5,L1
D5-T2-007,D5,L1
D5-T2-008,D5,L1
D5-T3-001,D5,L2
D5-T3-002,D5,L2
D5-T3-003,D5,L2
D5-T3-004,D5,L2
D5-T3-005,D5,L2
D5-T3-006,D5,L2
D5-T3-007,D5,L2
D5-T3-008,D5,L2
D5-T4-001,D5,L1
D5-T4-002,D5,L1
D5-T4-003,D5,L1
D5-T4-004,D5,L1
D6-T1-001,D6,L1
D6-T1-002,D6,L1
D6-T1-003,D6,L0
D6-T1-004,D6,L0
D6-T1-005,D6,L0
D6-T1-006,D6,L1
D6-T1-007,D6,L1
D6-T1-008,D6,L0
D6-T1-009,D6,L0
D6-T1-010,D6,L0
D6-T1-011,D6,L0
D6-T1-012,D6,L0
D6-T1-013,D6,L0
D6-T1-014,D6,L2
D6-T1-015,D6,L2
D6-T1-016,D6,L1
D6-T1-017,D6,L2
D6-T1-018,D6,L1
D6-T1-019,D6,L2
D6-T1-020,D6,L1
D6-T1-021,D6,L0
D6-T1-022,D6,L0
D6-T1-023,D6,L0
D6-T1-024,D6,L0
D6-T1-025,D6,L0
D6-T1-026,D6,L0
D6-T1-027,D6,L0
D6-T1-028,D6,L0
D6-T1-029,D6,L1
D6-T1-030,D6,L1
D6-T2-001,D6,L1
D6-T2-002,D6,L0
D6-T2-003,D6,L0
D6-T2-004,D6,L0
D6-T2-005,D6,L1
D6-T2-006,D6,L0
D6-T2-007,D6,L0
D6-T2-008,D6,L0
D6-T3-001,D6,L1
D6-T3-002,D6,L0
D6-T3-003,D6,L0
D6-T3-004,D6,L0
D6-T3-005,D6,L2
D6-T3-006,D6,L0
D6-T3-007,D6,L0
D6-T3-008,D6,L2
D6-T4-001,D6,L0
D6-T4-002,D6,L0
D6-T4-003,D6,L0
D6-T4-004,D6,L0
